"Symbol";"Value";"Unit";
"REFERENCE";"1818216";"";
"ATT_0173_1_02_BAF016_008";"29.44";"";
"TraceParts.PartVersion";"1.2.9";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_AAC202_012";"Sn";"";
"ATT_0173_1_02_BAA020_012";"12.6";"";
"ATT_0173_1_02_BAG640_013";"Wave soldering";"";
"ATT_0173_1_02_BAD831_016";"Wave soldering";"";
"TraceParts.InstanceId";"10-23122020-056382CMLRLGTWXM7H8TW0JGYKDUDMT";"";
"ATT_0173_1_02_AAO663_005";"4046356755191";"";
"DESIGN";"PCB header";"";
"ATT_0173_1_02_AAF726_005";"8";"";
"ATT_0173_1_02_BAB577_010";"7.25";"";
"ATT_0173_1_02_AAT080_004";"5";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"MCV 1,5/ 5-GF-3,81-LR";"";
"ATT_0173_1_02_AAP798_003";"IEC 61984";"";
"ATT_0173_1_02_BAC487_017";"PBT";"";
"ATT_0173_1_02_BAC140_011";"V0";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAB392_019";"cULus Recognized, VDE Zeichengenehmigung";"";
"TraceParts.PartNumber";"10-23122020-056382";"";
